,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
0,saat semua cowok usaha lacak perhati gue kamu lantas remeh perhati gue kasih khusus kamu basic kamu cowok bego,1,1,1,0,0,0,0,0,1,1,0,0
1,siapa telat beri tau eluedan sarap gue gaul cigax jifla cal sama siapa licew,0,1,0,0,0,0,0,0,0,0,0,0
2,kadang aku pikir aku tetap percaya tuhan padahal aku selalu jatuh berkalikali kadang aku rasa tuhan tinggal aku sendiri orang tua rencana pisah kakak lebih pilih jadi kristen aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
3,aku akunnku tau mata sipit lihat mana aku,0,0,0,0,0,0,0,0,0,0,0,0
4,kaum cebong kafir lihat dongok awal tambah dungu haha,1,1,0,1,1,0,0,0,0,0,1,0
5,bani taplak kawan kawan xfxfxxxfxfxxxfxfxx,1,1,0,1,0,0,0,0,1,0,1,0
6,deklarasi pilih kepala daerah aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
7,gue baru selesai rewatch aldnoah zero paling kampret memang akhir karakter utama cowok kena friendzone bro xd,0,1,0,0,0,0,0,0,0,0,0,0
8,nah admin belanja satu po baik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket mana gerai rozak meuaku taipan depan kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
9,enak kalau ngewe,0,1,0,0,0,0,0,0,0,0,0,0
10,gue punya jari tengah buat kamu gue ukur nyali sama bacot kamu xfxfxxf,1,1,1,0,0,0,0,0,1,1,0,0
11,banci kaleng malu bisa jawab peanyaan dari hari lalu nyungsep koe,1,1,1,0,0,0,0,1,0,1,0,0
12,kalau ajar ekonomi mesti jago privatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
13,aktor huru hara prabowo si lengser perintah jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
14,bu guru enak jadi jablay guru sekolah dasar sihnkayaknya nikmat jadi pecun guru,1,1,1,0,0,0,0,1,0,1,0,0
15,lawan bicara gue intelek kayak kamu otak punya kencing onta gue aku hadis nabi itu sahih kafir kayak kamu tolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
16,belakang kok pikir ampas banget,0,0,0,0,0,0,0,0,0,0,0,0
17,ari sama bek rapi monyetxfxfxxxfxfxx,0,1,0,0,0,0,0,0,0,0,0,0
18,jadi cowok harus gantle kalau gantle nama banci,1,1,0,1,0,0,0,1,0,0,1,0
19,alga mnr bom xfxfxx,0,0,0,0,0,0,0,0,0,0,0,0
20,anjing tapi gue jarang ambek takut wkwk gue kan budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
21,kalau kamu noob peluang sakit nya lebih gede sih,0,0,0,0,0,0,0,0,0,0,0,0
22,joko widodo nilai bagai presiden lemah sejarah indonesia ini jadi bukan jokowi milik modal dukung politik cukup juga karena ketidakmampuan perintah hadap situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0
23,ajar sama camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
24,bandara udara internasional keajati bangun gubernur ahmad heryawan guna anggar dan belanja negara perintah pusat insya allah siap operasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
25,siapa gubernur presiden rakyat kita,0,0,0,0,0,0,0,0,0,0,0,0
26,sih kerja delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0
27,turut pintu sorga yaitu pintu sorga asli pintu hati modus banget,0,0,0,0,0,0,0,0,0,0,0,0
28,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,1,0,0,1,0,1,0,0,0,0,1,0
29,adalah neneknenek heran sama cebong biasa bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
30,islam nusantara produk jil pasar gencar antekxcxb jilnnsementara jil anti arab pro asengnnkata almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
31,habis sahur jam si bayi nete empat kali sekarang rasa lemas tak kira xfxfxaxa,0,0,0,0,0,0,0,0,0,0,0,0
32,kak emak tidak suka sama sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0
33,laku homo jaman now ngentot sambil live blued gay video gvid lokal hangat,0,1,0,0,0,0,0,0,0,0,0,0
34,kak gue bukan orang jawa maaf gue orang palembang soal kakak deh ajar aksara jawa kelak mau ajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
35,pegawai guardian training kayak mentang mentang gue kayak gembel cuma kaos sama flat shoes tanya dijutekin bangsat memang malas beli kabur gue matahari,1,1,0,1,0,0,0,0,1,0,1,0
36,xexxdpara bajing telah luka lady terima ganjar ratus kali lipatxexxdsanji selamat ulang tahun laut jkt,0,1,0,0,0,0,0,0,0,0,0,0
37,aja tolak berita hoaks sukses pilih kepala daerah wilayah kota diri,0,0,0,0,0,0,0,0,0,0,0,0
38,presiden ri jokowi luar biasa kerja nya tulus ikhlas rakyat sama jokowi,0,0,0,0,0,0,0,0,0,0,0,0
39,edan memang tuju fabiano,0,1,0,0,0,0,0,0,0,0,0,0
40,pernah alquran bang pantas mulut kayak orang kafir bejat hina farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0
41,sangat lihat beda sekali wibawa sangat wibawa cuma gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0
42,anjir baru kali lihat orang bego mau debat pilih kepala daerah kerja serang karakter kecewa on kamu empok silvy and agus debat final pilih kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
43,gubernur zaman now gus ipul puti ganjar yasin djarot sihar hasan anton koster ace nurdin sudirman karolin gidot keanekaragaman budaya suku agama sungguh kaya tutur djarot hadap pesea rapat kerja cabang khusus,0,0,0,0,0,0,0,0,0,0,0,0
44,apa iya islam tidak lokalisasi lah kristen mas nusantara mas lihat di gereja di bandung pakai gamelan yang khotbah pakai bahas sundajawa ada huria kristen batak protestan kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0
45,cipta situasi aman tertib masyarakat jelang pilih kepala daerah kepala polisi sektor konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
46,positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornn,0,0,0,0,0,0,0,0,0,0,0,0
47,kata sembahyang adopsi tradisi lokal masa kerja hindunnistilahxcxasembahyangxcxapun lahir tradisi ritusxcxamenyembahhyang tunggal sama denganxcxashalat sembah all,0,0,0,0,0,0,0,0,0,0,0,0
48,kamu didik tinggi bodohgk larang bawa agamabiar orang islam di bayar ahok sadar jadi pilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0
49,ahok the best abai kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0
50,sih otak tempurung usah laden makin lawan makin dungu dan kalau tidak begitu tidak makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
51,awaasss jangan berita ke saudara gerung susah cari kosakata kalau bocor picing mata bibir monyong samping suara keluar ky nhn kentut politik kotor sekali zaman kalau tahu b pulang ky nhn ngedendungu xfxfxxb,1,1,1,0,0,0,1,0,0,1,0,0
52,pinokio umur tahun ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
53,cerita silat lae xfxfxx macam kho merah muda yang indonesia liang ie shen tulis cina,0,0,0,0,0,0,0,0,0,0,0,0
54,benci sekali umat islam,1,0,0,1,1,0,0,0,0,0,1,0
55,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota begini cara cebong deskripsi kalah junjung for your information ahok pernah ikut pilih apa camat jadi wakil dia bukan etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
56,pada gue nete,0,1,0,0,0,0,0,0,0,0,0,0
57,wkwk bani lowo,1,1,0,1,0,0,0,0,1,0,1,0
58,takabur lahir siapa kuasa rakyat ulama maupun cendikia bahkan iblis makhluk alim amp ibadah atus ratus tahun laknat hasud takabur hanya orang ahli ilmu filsafat tidak failosof kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
59,a orang suka konserkonser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0
60,kapan makan racun banyak ulama kata hukum rokok mubah ada,0,0,0,0,0,0,0,0,0,0,0,0
61,susilo bambang yudhoyono presiden ri minta khofifah emil dekat masyarakat no bagus khofifah emil nomor satu,0,0,0,0,0,0,0,0,0,0,0,0
62,biasa kali gue gemar korea pop kalau omong sama teman teman gue idol gue banci homo,1,1,1,0,0,0,0,1,0,1,0,0
63,suka video awal kisah seteru haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
64,budaya kafir sungguh kalau hal islam indah,0,0,0,0,0,0,0,0,0,0,0,0
65,xfxfxexb lah lah lahm hem xfxfxexa semua diam semua bisunkita coba tanya sama rumput goyang nxexxabxexxabxexxabxexxaaxexxaaxexxaa,0,0,0,0,0,0,0,0,0,0,0,0
66,apabila setan bisik waswas minta lindung allah qs alaxexxraf fussilat,0,0,0,0,0,0,0,0,0,0,0,0
67,kalau kamu atheisngapain sibuk agama orang,0,0,0,0,0,0,0,0,0,0,0,0
68,lengser jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1
69,selamat hari kain ganti presiden presiden baru,0,0,0,0,0,0,0,0,0,0,0,0
70,bajing homonhati hadap anak anak utama kamar mandi laki laki jangan biar sendiri,1,1,1,0,0,0,0,1,0,1,0,0
71,iya cocot,1,1,1,0,0,0,0,0,1,1,0,0
72,budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
73,ajar solata itu orang asing hanya pecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
74,x kamu bicara tidak benar bangkai,1,1,1,0,0,0,0,0,1,1,0,0
75,semua pernah percaya negara suatu hari akan jajah ke ranah kasus kasus bubar sistem sistem beraja di negara kini jadi bagai negara republik komunis padahal negara negara jaja,0,0,0,0,0,0,0,0,0,0,0,0
76,masih nikmat bijak dulu usul partai komunis indonesia lah iya apa,1,0,0,1,0,1,0,0,0,0,1,0
77,kalau umpama orang cina usir paksa indonesia bagaimana,1,0,0,1,0,1,0,0,0,0,1,0
78,bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0
79,cina babi cina malingnusirchina httpstcoyhiwhjp,1,1,0,1,0,1,0,0,0,0,0,1
80,bung karno anti asing beliau jawa coba deh adakan konsensus lebih banyak mana jawa anti asing pro asing keboohannya nnkalau keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
81,proyek korupsi rezim susilo bambang yudhoyono,1,0,1,0,0,0,0,0,1,1,0,0
82,wajar lihat tingkah beberapa petinggi negeri yang suka campur bahas indonesia bahas asing tiap kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
83,ab pribadi senang kompetisi hal baik positif,0,0,0,0,0,0,0,0,0,0,0,0
84,terus turut kamu kitab suci agama apa di bilang om dadak kalap,1,0,1,0,0,0,0,0,1,1,0,0
85,suka tutup mata tutup sudah lihat teutup gara gara sipit,0,0,0,0,0,0,0,0,0,0,0,0
86,bagai muslim rasa pak nista kitab suci alquran dalam alquran sendiri beberapa suku kata sampai detik belum tahu makna faktual umat islam kami kata sebut makna sirat fiksi belum,0,0,0,0,0,0,0,0,0,0,0,0
